Баранина__ребра__только_мясо__запеченные,232 кКал
Баранина__рулька,201 кКал
Баранина__рулька_тушеная,243 кКал
Баранина__рулька__только_мясо,120 кКал
Баранина__рулька__только_мясо__тушеная,187 кКал
Баранина__спинная_часть,254 кКал
Баранина__тазобедренная_и_лопаточная_части__только_мясо__нарезанное_кубиками,134 кКал
Баранина__тазобедренная_и_лопаточная_части__только_мясо__нарезанное_кубиками__жаренная_на_открытом_огне,186 кКал
Баранина__тазобедренная_и_лопаточная_части__только_мясо__нарезанное_кубиками__тушеная,223 кКал
Баранина__тазобедренная_часть,198 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__жаренная_на_открытом_огне,315 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__жаренная_на_открытом_огне,296 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__сырая,273 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__сырая,298 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__только_мясо__жаренная_на_открытом_огне,199 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__только_мясо__сырая,142 кКал
Баранина__шейная_часть,208 кКал
Белка,120 кКал
Белка__запеченная,173 кКал
Бизон__мякоть_плечевой_части__только_мясо,119 кКал
Бизон__мякоть_плечевой_части__только_мясо,109 кКал
Бизон__мякоть_плечевой_части__только_мясо__тушеная,193 кКал
Бизон__стейк_из_верхней_части_бедра__только_мясо,122 кКал
Бизон__стейк_из_верхней_части_бедра__только_мясо__жаренный_на_открытом_огне,174 кКал
Бизон__стейк_из_верхней_части_оковалка__только_мясо__жаренный_на_открытом_огне,171 кКал
Бизон__стейк_из_рибая_(реберная_сердцевина__глазок)__только_мясо,116 кКал
Бизон__стейк_из_рибая_(реберная_сердцевина__глазок)__только_мясо__жареный_на_открытом_огне,177 кКал
Бизон__только_мясо,109 кКал
Бизон__только_мясо__запеченное,143 кКал
Бобер,146 кКал
Бобер__запеченный,212 кКал
Буйвол__стейк_из_верхней_части_бедра_(Шошони_Баннок),97 кКал
Буйвол__стейк_из_верхней_части_бедра_приготовленный_(Шошони_Баннок),146 кКал
Буйволятина__1_категории,195 кКал
Буйволятина__2_категории,135 кКал
Буффало__гибрид_бизона_и_коровы__мясной_набор,143 кКал
Буффало__гибрид_бизона_и_коровы__мясной_набор__запеченный,188 кКал
Верблюжатина_1_категории,160 кКал
Водяной_буйвол,99 кКал
Водяной_буйвол__запеченный,131 кКал
Глаза_оленя_карибу_(Аляска),326 кКал
Голяшка__баранина__мясо_и_жир__обрезь_до_1/8___жира__жаренная,217 кКал
Голяшка__баранина__мясо_и_жир__обрезь_до_1/8___жира__сырая,185 кКал
Гуляш_бараний__консервы,213 кКал
Енот__запеченный,255 кКал
Жир_бараний_приготовленный__Австралия,639 кКал
Жир_бараний_сырой__Австралия,648 кКал
Завтрак_туриста_(баранина)__консервы,210 кКал
Кабан,122 кКал
Кабан__запеченный,160 кКал
Карибу_(канадский_олень),127 кКал
Карибу_(канадский_олень)__запеченный,167 кКал
Карибу__костный_мозг_(Аляска),786 кКал
Карибу__мясо_задней_четвертины__приготовленное_(Аляска),159 кКал
Карибу__огузок_(кострец)__наполовину_высушенный_(Аляска),255 кКал
Карибу__окорок_(Аляска),122 кКал
Козлятина,109 кКал
Козлятина__запеченная,143 кКал
Конина,133 кКал
Конина_1_кат.,167 кКал
Конина_2_кат.,121 кКал
Конина_тушеная__консервы,150 кКал
Конина__запеченная,175 кКал
Котлеты_отбивные_из_баранины__по_1_416,394 кКал
Котлеты_рубленые_из_баранины__по_1_442,240 кКал
Кролик_жареный__по_2_18,241 кКал
Кролик_отварной__по_2_6,194 кКал
Кролик__дикий,114 кКал
Кролик__дикий__тушеный,173 кКал
Легкое_баранье,83 кКал
Легкое_баранье,95 кКал
Легкое_баранье__тушеное,113 кКал
Лось,111 кКал
Лось__вырезка__только_мясо__жаренный_на_открытом_огне,162 кКал
Лось__запеченный,146 кКал
Лось__корейка__только_мясо__жаренный_на_открытом_огне,167 кКал
Лось__тазобедренный_отруб__только_мясо__жаренный_на_открытом_огне,156 кКал
Медведь,161 кКал
Медведь_полярный_(белый)_(Аляска),130 кКал
Медведь__приготовленный_на_медленном_огне,259 кКал
Медведь__черный_(Аляска),155 кКал
Мозги_бараньи,123 кКал
Мозги_бараньи__жаренные_на_сковороде,273 кКал
Мозги_бараньи__тушеные,145 кКал
Мозги__бараньи,122 кКал
Мясной_набор__баранина__мясо_и_жир__обрезь_до_1/4___жира__отборная__вареная,294 кКал
Мясной_набор__баранина__мясо_и_жир__обрезь_до_1/4___жира__отборная__сырая,267 кКал
Мясной_набор__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__вареная,271 кКал
Мясной_набор__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__сырая,243 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__мясо_и_жир__вареная,305 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__отборная__вареная,270 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__отборная__сырая,232 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__мясо_и_жир__сырая,277 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__только_жир__вареная,586 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__только_жир__сырая,640 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__только_мясо__вареная,206 кКал
Мясной_набор__баранина__Новая_Зеландия__замороженная__только_мясо__сырая,128 кКал
Мясной_набор__баранина__только_жир__обрезь_до_1/4___жира__отборная__вареная,586 кКал
Мясной_набор__баранина__только_жир__обрезь_до_1/4___жира__отборная__сырая,665 кКал
Мясной_набор__баранина__только_мясо__обрезь_до_1/4___жира__отборная__вареная,206 кКал
Мясной_набор__баранина__только_мясо__обрезь_до_1/4___жира__отборная__сырая,134 кКал
Мясо_косули,138 кКал
Мясо_кролика,183 кКал
Мясо_лося,101 кКал
Мясо_сайгака,208 кКал
Мясо_яка,112 кКал
Нога_передняя__с_лопаткой__баранина__мясо_и_жир__обрезь_до_1/8___жира__жаренная,269 кКал
Нога_передняя__с_лопаткой__баранина__мясо_и_жир__обрезь_до_1/8___жира__жаренная_на_открытом_огне,268 кКал
Нога_передняя__с_лопаткой__баранина__мясо_и_жир__обрезь_до_1/8___жира__сырая,244 кКал
Нога_передняя__с_лопаткой__баранина__мясо_и_жир__обрезь_до_1/8___жира__тушеная,338 кКал
Нога__передняя__с_лопаткой__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__сырая,251 кКал
Нога__передняя__с_лопаткой__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__тушеная,342 кКал
Нога__передняя__с_лопаткой__баранина__Новая_Зеландия__замороженная__мясо_и_жир__сырая,272 кКал
Нога__передняя__с_лопаткой__баранина__Новая_Зеландия__замороженная__мясо_и_жир__тушеная,357 кКал
Нога__передняя__с_лопаткой__баранина__Новая_Зеландия__замороженная__только_мясо__сырая,154 кКал
Нога__передняя__с_лопаткой__баранина__Новая_Зеландия__замороженная__только_мясо__тушеная,285 кКал
Нога__целая__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__жаренная,242 кКал
Нога__целая__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__сырая,209 кКал
Нога__целая__баранина__Новая_Зеландия__замороженная__мясо_и_жир__жаренная,246 кКал
"Нога__целая__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8""_жира__жаренная",234 кКал
"Нога__целая__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_до_1/8""_жира__сырая",201 кКал
Нога__целая__баранина__Новая_Зеландия__замороженная__мясо_и_жир__сырая,206 кКал
Нога__целая__баранина__Новая_Зеландия__замороженная__только_мясо__жаренная,181 кКал
Нога__целая__баранина__Новая_Зеландия__замороженная__только_мясо__сырая,126 кКал
Оленина_1_кат.,155 кКал
Оленина_тушеная__консервы,171 кКал
Оленина__2_категории,125 кКал
Олень__(лань),120 кКал
Олень__(лань)__запеченный,158 кКал
Олень__(лань)__мякоть_плечевой_части__только_мясо__тушеный,191 кКал
Олень__(лань)__стейк_из_верхней_части_бедра__только_мясо__жареный_на_открытом_огне,152 кКал
Олень__(лань)__стейк_из_филея__только_мясо__жаренный_на_открытом_огне,150 кКал
Олень__сырой__(Аляска__Ситка),116 кКал
Ондатра_(выхухоль),162 кКал
Ондатра_(выхухоль)__запеченная,234 кКал
Опоссум__запеченный,221 кКал
Печень_баранья,101 кКал
Печень_баранья,139 кКал
Печень_баранья__жаренная__на_сковороде,238 кКал
Печень_баранья__тушеная,220 кКал
Печень_северного_оленя_карибу__(Аляска),122 кКал
Поджарка_из_баранины__по_1_408,409 кКал
Поджелудочная_железа_баранья,152 кКал
Поджелудочная_железа_баранья_тушеная,234 кКал
Почки_бараньи,77 кКал
Почки_бараньи,97 кКал
Почки_бараньи__тушеные,137 кКал
Рагу_из_баранины__по_1_430,152 кКал
Рагу_из_кролика__по_2_10,123 кКал
Ребра__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__жаренная,341 кКал
Ребра__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__жаренная_на_открытом_огне,340 кКал
Ребра__баранина__мясо_и_жир__обрезь_до_1/8___жира__отборная__сырая,342 кКал
Ребра__баранина__Новая_Зеландия__замороженная__мясо_и_жир__жаренная,253 кКал
Ребра__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_дл_1/8___жира__жаренная,317 кКал
Ребра__баранина__Новая_Зеландия__замороженная__мясо_и_жир__обрезь_дл_1/8___жира__сырая,311 кКал
Ребра__баранина__Новая_Зеландия__замороженная__мясо_и_жир__сырая,240 кКал
Ребра__баранина__Новая_Зеландия__замороженная__только_мясо__жаренная,196 кКал
Ребра__баранина__Новая_Зеландия__замороженная__только_мясо__сырая,160 кКал
Рубец_бараний,82 кКал
"Рулька__баранина__мясо_и_жир__обрезь_до_1/4""_жира__отборная__сырая",201 кКал
