Кукурузная_мука_желтая_грубого_помола__цельнозерновая,362 кКал
Кукурузная_мука_желтая_тонкого_помола__беззародышевая,375 кКал
Кукурузная_мука_желтая_тонкого_помола__цельнозерновая,361 кКал
Кукурузная_мука_желтая__маса_(из_никстамализированного_зерна)__обогащенная,363 кКал
Кукурузная_мука_фиолетовая_тонкого_помола__цельнозерновая__(маиз_морадо),364 кКал
Кукурузная_мука__голубая_(Навахо),398 кКал
Кукурузные_отруби,224 кКал
Кукурузные_хлопья,360 кКал
Кукурузные_хлопья__Ральстон_Корн_Флэйкс,384 кКал
Кукурузный_крахмал,343 кКал
Кукурузный_крахмал,381 кКал
Кукурузный_пудинг_домашнего_приготовления,131 кКал
Кускус_(кус_кус)__приготовленный,112 кКал
Кускус_(кус_кус)__сухой,376 кКал
Лапша_домашняя__по_2_198,322 кКал
Лапша_китайская__плоская__хрустящая,521 кКал
Лапша_китайская__чоу_мейн,471 кКал
Лапша_яичная_со_шпинатом__обогащенная__приготовленная,132 кКал
Лапша_яичная_со_шпинатом__обогащенная__сухая,382 кКал
Лапша_яичная__обогащенная__приготовленная,138 кКал
Лапша_яичная__обогащенная__приготовленная_с_добавлением_соли,138 кКал
Лапша_яичная__обогащенная__сухая,384 кКал
Лапша_яичная__приготовленная__без_соли,138 кКал
Лапша_яичная__приготовленная__с_солью,138 кКал
Лапша_яичная__сухая,384 кКал
Лапша_японская__соба__приготовленная,99 кКал
Лапша_японская__соба__сухая,336 кКал
Лапша_японская__сомен__приготовленная,131 кКал
Лапша_японская__сомен__сухая,356 кКал
Лапшевник_с_творогом__по_1_308,180 кКал
Макароны_запеченные_с_яйцом__по_1__306,152 кКал
Макароны_из_муки_1_сорта,333 кКал
Макароны_из_муки_высшего_сорта,338 кКал
Макароны_из_муки_высшего_сорта__витаминизированные,337 кКал
Макароны_из_муки_высшего_сорта__молочные,345 кКал
Макароны_из_муки_высшего_сорта__яичные,342 кКал
Макароны_отварные_с_жиром__по_1_304,135 кКал
Макароны_отварные__по_1_302,98 кКал
Макароны_с_овощами__обогащенные__приготовленные,128 кКал
Макароны_с_овощами__обогащенные__сухие,367 кКал
Манная_каша_вязкая__по_1_276,100 кКал
Манная_крупа,333 кКал
Манная_крупа__необогащенная,360 кКал
Манная_крупа__обогащенная,360 кКал
Мука_из_зародышей_пшеницы,335 кКал
Мука_из_сорго,357 кКал
Мука_из_сорго__цельнозерновая,359 кКал
Мука_из_тритикале,338 кКал
Овес__зерно,316 кКал
Овес__зерно_сухое,389 кКал
Овсяная_каша_быстрого_приготовления_(растворимая)_с_изюмом_и_специями__приготовленная_на_воде,88 кКал
Овсяная_каша_быстрого_приготовления_(растворимая)_с_корицей_и_специями__приготовленная_на_воде,96 кКал
Овсяная_каша_быстрого_приготовления_(растворимая)_с_корицей_и_специями__сухая,369 кКал
Овсяная_каша_быстрого_приготовления_(растворимая)__приготовленная_на_воде,68 кКал
Овсяная_каша_быстрого_приготовления_(растворимая)__с_кленовым_и_коричневым_сахаром__сухая,386 кКал
Овсяная_каша_быстрого_приготовления_(растворимая)__сухая,362 кКал
Овсяная_каша_жидкая__приготовленная_на_воде__без_соли,71 кКал
Овсяная_каша_жидкая__приготовленная_на_воде__с_солью,71 кКал
Овсяная_каша_из_хлопьев_«Геркулес»__по_1_280,105 кКал
Овсяная_каша__по_1_280,109 кКал
Овсяная_крупа,379 кКал
Овсяная_крупа,342 кКал
Овсяная_мука,369 кКал
Овсяная_мука_с_отрубями,404 кКал
Овсянка_быстрорастворимая_с_корицей__сухая_(произв:_The_Quaker_Oats__Co.),369 кКал
Овсяные_отруби,246 кКал
Овсяные_отруби__приготовленные,40 кКал
"Овсяные_хлопья_""геркулес""",352 кКал
Паста_(макароны__спагетти)__из_кукурузной_муки__безглютеновые__приготовленные,126 кКал
Паста_(макароны__спагетти)_без_яиц__домашняя__приготовленная,124 кКал
Паста_(макароны__спагетти)_из_коричневой_рисовой_муки__безглютеновая__приготовленная,138 кКал
Паста_(макароны__спагетти)_из_кукурузной_и_рисовой_муки__безглютеновая__приготовленная,179 кКал
Паста_(макароны__спагетти)_из_кукурузной_муки_и_муки_киноа__безглютеновая__приготовленная,152 кКал
Паста_(макароны__спагетти)_из_кукурузной_муки__безглютеновые,357 кКал
Паста_(макароны__спагетти)_из_рисовой_муки_с_экстрактом_из_рисовых_отрубей__безглютеновая__приготовленная,200 кКал
Паста_(макароны__спагетти)_из_цельнозерновой_муки__приготовленная,149 кКал
Паста_(макароны__спагетти)_из_цельнозерновой_муки__сухая,352 кКал
Паста_(макароны__спагетти)_яичная__домашняя__приготовленная,130 кКал
Паста_(макароны__спагетти)__обогащенные__приготовленные_без_соли,158 кКал
Паста_(макароны__спагетти)__обогащенные__приготовленные_с_солью,157 кКал
Паста_(макароны__спагетти)__обогащенные__сухие,371 кКал
Паста_(макароны__спагетти)__приготовленная_без_соли,158 кКал
Паста_(макароны__спагетти)__приготовленная_с_солью,157 кКал
Паста_(макароны__спагетти)__свежезамороженная__неприготовленная,288 кКал
Паста_(макароны__спагетти)__свежезамороженная__приготовленная,131 кКал
Паста_(макароны__спагетти)__свежезамороженная__со_шпинатом__неприготовленная,289 кКал
Паста_(макароны__спагетти)__свежезамороженная__со_шпинатом__приготовленная,130 кКал
Паста_(макароны__спагетти)__сухая,371 кКал
Перловая_каша_по_1_270,135 кКал
Перловая_крупа,315 кКал
Перловая_крупа,352 кКал
Перловая_крупа__приготовленная,123 кКал
Полба_(спельта)__неприготовленная,338 кКал
Полба_(спельта)__приготовленная,127 кКал
Просо__зерно_продовольственное,298 кКал
Пудинг_рисовый_по_1_292,202 кКал
Пшеница_мягкая_белозёрная,340 кКал
Пшеница_мягкая_краснозёрная_озимая,331 кКал
Пшеница_мягкая__зерно,305 кКал
Пшеница_проросшая,198 кКал
Пшеница_стекловидная_белозёрная,342 кКал
Пшеница_стекловидная_краснозёрная_озимая,327 кКал
Пшеница_стекловидная_краснозёрная_яровая,329 кКал
Пшеница_твердая__зерно,339 кКал
Пшеница_твердая__зерно,304 кКал
Пшеничная_каша_жидкая__приготовленная_на_воде__без_соли,62 кКал
Пшеничная_каша_жидкая__приготовленная_на_воде__с_солью,62 кКал
Пшеничная_каша_рассыпчатая_из_крупы_«Полтавская»__по_1_272,153 кКал
Пшеничная_клейковина_(глютен),370 кКал
Пшеничная_крупа,342 кКал
"Пшеничная_крупа_""Артек""",329 кКал
"Пшеничная_крупа_""Полтавская""",329 кКал
Пшеничная_мука_высшего_сорта_из_мягкой_пшеницы,334 кКал
Пшеничная_мука_высшего_сорта__10%_белка__неотбеленная__обогащенная,366 кКал
Пшеничная_мука_высшего_сорта__10%_белка__отбеленная__необогащенная,366 кКал
Пшеничная_мука_высшего_сорта__10%_белка__отбеленная__обогащенная,366 кКал
Пшеничная_мука_высшего_сорта__11_5%_белка__неотбеленная__обогащенная,363 кКал
Пшеничная_мука_высшего_сорта__11_5%_белка__отбеленная__необогащенная,363 кКал
Пшеничная_мука_высшего_сорта__11_5%_белка__отбеленная__обогащенная,363 кКал
Пшеничная_мука_высшего_сорта__13%_белка__отбеленная__необогащенная,362 кКал
Пшеничная_мука_высшего_сорта__13%_белка__отбеленная__обогащенная,362 кКал
Пшеничная_мука_высшего_сорта__15%_белка__отбеленная__необогащенная,362 кКал
Пшеничная_мука_высшего_сорта__15%_белка__отбеленная__обогащенная,362 кКал
Пшеничная_мука_высшего_сорта__9%_белка__отбеленная__необогащенная,367 кКал
Пшеничная_мука_высшего_сорта__9%_белка__отбеленная__обогащенная,367 кКал
Пшеничная_мука_высшего_сорта__кондитерская__обогащенная,362 кКал
Пшеничная_мука_высшего_сорта__смесь_для_тортильи__обогащенная,405 кКал
Пшеничная_мука_высшего_сорта__универсальная__необогащенная,364 кКал
Пшеничная_мука_высшего_сорта__универсальная__обогащенная_кальцием,364 кКал
Пшеничная_мука_высшего_сорта__универсальная__обогащенная__неотбеленная,364 кКал
Пшеничная_мука_высшего_сорта__универсальная__обогащенная__отбеленная,364 кКал
Пшеничная_мука_высшего_сорта__универсальная__обогащенная__самоподнимающаяся,354 кКал
Пшеничная_мука_высшего_сорта__хлебопекарная__обогащенная,361 кКал
Пшеничная_мука_цельнозерновая,340 кКал
Пшеничная_мука_цельнозерновая_из_мягкой_пшеницы,332 кКал
Пшеничная_мука__второго_сорта,324 кКал
Пшеничная_мука__высшего_сорта,334 кКал
Пшеничная_мука__высшего_сорта__витаминизированная,334 кКал
Пшеничная_мука__обойная,312 кКал
Пшеничная_мука__первого_сорта,329 кКал
Пшеничная_мука__первого_сорта__витаминизированная,331 кКал
Пшеничная_мука__хлебопекарная__необогащенная,361 кКал
Пшеничные_зародыши__сырые,360 кКал
Пшеничные_отруби,165 кКал
Пшеничные_отруби__сырые,216 кКал
Пшенная_каша_по_1_278,109 кКал
Пшенная_крупа__пшено_шлифованное,342 кКал
Пшенная_мука,382 кКал
Пшено_(просо)_воздушное,354 кКал
Пшено__приготовленное,119 кКал
Пшено__сырое,378 кКал
Ржаная_мука__обдирная,298 кКал
Ржаная_мука__обдирная,349 кКал
Ржаная_мука__обойная,294 кКал
Ржаная_мука__обойная,325 кКал
Ржаная_мука__сеяная,305 кКал
Ржаная_мука__сеяная,357 кКал
Ржаные_отруби,"114,2 кКал"
Рис_белый_длиннозерный__быстроразваривающийся__обогащенный__приготовленный,124 кКал
Рис_белый_длиннозерный__быстроразваривающийся__обогащенный__сухой,380 кКал
Рис_белый_длиннозерный__обогащенный__приготовленный,130 кКал
Рис_белый_длиннозерный__обогащенный__приготовленный_с_солью,130 кКал
Рис_белый_длиннозерный__обогащенный__сухой,365 кКал
Рис_белый_длиннозерный__приготовленный_без_соли,130 кКал
Рис_белый_длиннозерный__приготовленный_с_солью,130 кКал
Рис_белый_длиннозерный__пропаренный__обогащенный__приготовленный,123 кКал
Рис_белый_длиннозерный__пропаренный__обогащенный__сухой,374 кКал
Рис_белый_длиннозерный__пропаренный__приготовленный,123 кКал
Рис_белый_длиннозерный__сухой,365 кКал
Рис_белый_длиннозерный__сухой,374 кКал
Рис_белый_клейкий_(азиатский)__приготовленный,97 кКал
Рис_белый_клейкий_(азиатский)__сухой,370 кКал
Рис_белый_короткозерный__обогащенный__приготовленный,130 кКал
Рис_белый_короткозерный__обогащенный__сухой,358 кКал
Рис_белый_короткозерный__приготовленный,130 кКал
Рис_белый_короткозерный__сухой,358 кКал
Рис_белый_приготовленный_на_пару_(Китайская_кухня),151 кКал
Рис_белый_среднезерный__обогащенный__приготовленный,130 кКал
Рис_белый_среднезерный__обогащенный__сухой,360 кКал
Рис_белый_среднезерный__приготовленный,130 кКал
Рис_белый_среднезерный__сухой,360 кКал
Рис_белый__крупа_рисовая,333 кКал
Рис_дикий_(черный__индейский_рис__цициания)__приготовленный,101 кКал
Рис_дикий_(черный__индейский_рис__цициания)__сухой,357 кКал
Рис_желтый_со_специями__сухая_смесь,343 кКал
Рис_коричневый_(нешлифованный)_длиннозерный__приготовленный,123 кКал
Рис_коричневый_(нешлифованный)_длиннозерный__сухой,367 кКал
Рис_коричневый_(нешлифованный)_среднезерный__приготовленный,112 кКал
Рис_коричневый_(нешлифованный)_среднезерный__сухой,362 кКал
Рис_коричневый_(нешлифованный)__пропаренный__приготовленный__UNCLE_BENS,147 кКал
Рис_коричневый_(нешлифованный)__пропаренный._сухой__UNCLE_BEN_S,370 кКал
Рис_крем__дроблёный_рис_быстрорастворимый__приготовленный_на_воде_с_солью,52 кКал
Рис_крем__дроблёный_рис_быстрорастворимый__сухой,370 кКал
Рис__зерно_цельное_необработанное,303 кКал
Рисовая_запеканка_по_1_288,144 кКал
Рисовая_запеканка_с_творогом_по_1_288,189 кКал
Рисовая_каша_по_1_268,144 кКал
Рисовая_лапша__приготовленная,108 кКал
Рисовая_лапша__сухая,364 кКал
Рисовая_мука_диетическая,356 кКал
Рисовая_мука__белая,366 кКал
Рисовая_мука__коричневая,363 кКал
Рисовые_отруби__сырые,316 кКал
Рожь_молотая_жареная,322 кКал
Рожь__зерно,338 кКал
Рожь__зерно_цельное_необработанное,283 кКал
Сорго,323 кКал
Сорго,329 кКал
Спагетти_со_шпинатом__приготовленные,130 кКал
Спагетти_со_шпинатом__сухие,372 кКал
Спагетти__обогащенные_протеином__приготовленные,164 кКал
Спагетти__обогащенные_протеином__сухие,374 кКал
Сухой_завтрак___MALT_O_MEAL__обычный__сухой,361 кКал
Сухой_завтрак__CREAM_OF_WHEAT__обычный__приготовленный_на_воде__без_соли,50 кКал
Сухой_завтрак__CREAM_OF_WHEAT__обычный__сухой,370 кКал
Сухой_завтрак__готовый_к_употреблению__GENERAL_MILLS_TOTAL__Cranberry_Crunch,328 кКал
Сухой_завтрак__готовый_к_употреблению__GENERAL_MILLS__Curves_Fruit_&_Nut_Crunch_cereal,347 кКал
Сухой_завтрак__готовый_к_употреблению__GENERAL_MILLS__DORA_THE_EXPLORER,366 кКал
Сухой_завтрак__готовый_к_употреблению__GENERAL_MILLS__Fruity_CHEERIOS,383 кКал
Сухой_завтрак__готовый_к_употреблению__GENERAL_MILLS__OATMEAL_CRISP_with_Almonds,393 кКал
Сухой_завтрак__готовый_к_употреблению__KELLOGG_S_SPECIAL_K_Chocolatey_Delight,381 кКал
Сухой_завтрак__готовый_к_употреблению__QUAKER__QUAKER_OAT_CINNAMON_LIFE,373 кКал
Сухой_завтрак__готовый_к_употреблению__WEETABIX_WHOLE_WHEAT_CEREAL,373 кКал
Сухой_завтрак__готовый_к_употреблению__воздушная_пшеница_подслащенная__любой_бренд,390 кКал
Сухой_завтрак__готовый_к_употреблению__колца_со_вкусом_шоколада__подслащенные__любой_бренд,415 кКал
Сухой_завтрак__готовый_к_употреблению__овес_и_кукуруза_и_пшеница__квадратики__подслащенные__с_кленовым_вкусом,430 кКал
Сухой_завтрак__готовый_к_употреблению__пшеница__дробленная__обычная__без_сахара_и_соли,337 кКал
Сухой_завтрак__фарина__крахмал__картофельная_мука__обогащенная__приготовленная_на_воде__без_соли,53 кКал
Тапиока_(маниоковое_саго)__сухая,358 кКал
Тефф__неприготовленный,367 кКал
Тефф__приготовленный,101 кКал
Толокно,363 кКал
Тритикале,336 кКал
Тритикале,293 кКал
Хомини_кукуруза_(никстамализированная)_белая__консервированная,72 кКал
Хомини_кукуруза_(никстамализированная)__желтая__консервированная,72 кКал
Ячменная_мука,284 кКал
Ячменная_мука_или_крупка,345 кКал
Ячменный_солод,361 кКал
Ячмень_вылущенный,354 кКал
Ячмень__зерно_цельное_необработанное,288 кКал
Ячневая_каша_по_1_278,96 кКал
Ячневая_крупа,313 кКал
Продукт,Калорийность
KRAFT_BREAKSTONE_S_FREE_Обезжиренная_сметана,91 кКал
KRAFT_BREYERS_LIGHT_N__LIVELY_Клубничний_йогурт_1%_с_низким_содержанием_жира,108 кКал
KRAFT_BREYERS_LIGHT_Обезжиренный_клубничный_йогурт_(с_заменителями_сахара_аспартам_и_фруктозой),55 кКал
KRAFT_BREYERS_Smooth__Creamy_Клубничний_йогурт_1%_с_низким_содержанием_жира,102 кКал
KRAFT_BREYERS_Клубничний_йогурт_1%_с_низким_содержанием_жира,96 кКал
KRAFT_CHEEZ_WHIZ_LIGHT__Пастеризованый_плавленый_сыр,215 кКал
KRAFT_CHEEZ_WHIZ__Пастеризованый_плавленый_сырный_соус,276 кКал
KRAFT_FREE__Обезжиренный_пастеризованый_плавленый_сыр,148 кКал
KRAFT_VELVEETA_LIGHT_Пастеризованый_плавленый_сыр_с_низким_модержанием_жира,222 кКал
Ацидофилин_1%,40 кКал
Ацидофилин_3_2%_жирности,59 кКал
Ацидофилин_3_2%_жирности_сладкий,77 кКал
Ацидофилин_обезжиренный,31 кКал
Белковая_добавка__на_основе_молока__Muscle_Milk_Light__порошок,396 кКал
Белковая_добавка__на_основе_молока__Muscle_Milk__порошок,411 кКал
Брынза_из_коровьего_молока__м.д.ж._40%_в_сух._в_ве,262 кКал
Брынза_овечья__м.д.ж._40%_в_сух._в_ве,260 кКал
Варенец__2_5%_жирности,53 кКал
Дульсе_де_лече__варёное_сгущенное_молоко_(латиноамериканский_десерт),315 кКал
Заменитель_взбитых_сливок__приготовленный_из_порошка__6%_жирности,100 кКал
Заменитель_молока_с_маслами_лауриновой_кислоты,61 кКал
Заменитель_молока__без_сои,46 кКал
Заменитель_молока__порошок,529 кКал
Заменитель_сливок_10%_жирности_с_гидрогенизированным_растительным_маслом_и_протеинами_сои,136 кКал
Заменитель_сливок_10%_жирности_с_маслами_лауриновой_кислоты_и_казеинатом_натрия,136 кКал
Заменитель_сливок_13_5%_жирности_ароматизированный,251 кКал
Заменитель_сливок_3_5%_жирности,71 кКал
Заменитель_сливок_сухой_15_7%_жироности,431 кКал
Заменитель_сливок_сухой_21_5%_жироности_ароматизированный,482 кКал
Заменитель_сливочного_масла__обезжиренный__порошок,373 кКал
Заменитель_сметаны_19_5%_жирности_,208 кКал
Заменитель_сыра_(иммитация)__американский_или_чеддер__с_низким_содержанием_холестерина,390 кКал
Заменитель_сыра_(иммитация)__американский_чеддер,239 кКал
Заменитель_сыра__моцарелла,248 кКал
Заправка_для_десерта__в_аэрозольной_упаковке,264 кКал
Заправка_для_десерта__полужидкая__замороженная,318 кКал
Заправка_для_десерта__порошок,577 кКал
Заправка_для_десерта__порошок__1_5_унции_приготовлены_на_пол_стакана_молока,194 кКал
Йогурт_1_15%_жирности__4%_белка__фруктовый,99 кКал
Йогурт_1_15%_жирности__4%_белка__фруктовый__с_витамином_D,99 кКал
Йогурт_1_25%_жирности__5%_белка__ванильный,85 кКал
Йогурт_1_25%_жирности__5%_белка__с_витамином_D__ванильный,85 кКал
Йогурт_1_25%_жирности__ванильный__с_низкокалорийным_подсластителем,86 кКал
Йогурт_1_4%_жирности__4_9%_белка__фруктовый,105 кКал
Йогурт_1_4%_жирности__фруктовый__с_низкокалорийным_подсластителем,105 кКал
Йогурт_1_4%_жирности__фруктовый__с_низкокалорийным_подсластителем__с_витамином_D,105 кКал
Йогурт_1_5%_жирности__4_1%_белка__натуральный,57 кКал
Йогурт_1_5%_жирности__4%_белка__плодово_ягодный,90 кКал
Йогурт_1_5%_жирности__5_25%_белка__натуральный,63 кКал
Йогурт_1_5%_жирности__5%_белка__сладкий,70 кКал
Йогурт_1%_жирности__4_4%_белка__фруктовый,102 кКал
Йогурт_1%_жирности__4_4%_белка__фруктовый__с_витамином_D,102 кКал
Йогурт_3_2%_жирности__5%_белка__натуральный,68 кКал
Йогурт_3_2%_жирности__5%_белка__сладкий,87 кКал
Йогурт_3_25%_жирности__3_5%_белка__натуральный,61 кКал
Йогурт_6%_жирности__5%_белка__натуральный,92 кКал
Йогурт_6%_жирности__5%_белка__сладкий,112 кКал
Йогурт_греческий_1_5%_жирности__лимонный__CHOBANI,92 кКал
Йогурт_греческий_1_7%_жирности__клубнично_банановый__CHOBANI,88 кКал
Йогурт_греческий_1_7%_жирности__кокосовый__CHOBANI,92 кКал
Йогурт_греческий_1_8%_жирности__ананасовый__CHOBANI,94 кКал
Йогурт_греческий_1_8%_жирности__ягодный__CHOBANI,93 кКал
Йогурт_греческий_1_9%_жирности__натуральный,73 кКал
Йогурт_греческий_1.7%_жирности__абрикосовый__CHOBANI,93 кКал
Йогурт_греческий_2_5%_жирности__ванильный,95 кКал
Йогурт_греческий_2_6%_жирности___клубничный,105 кКал
Йогурт_греческий_2_9%_жирности__клубничный__DANNON_OIKOS,106 кКал
Йогурт_греческий_3%_жирности__фруктовый,106 кКал
Йогурт_греческий_4%_жирности__натуральный__CHOBANI,82 кКал
Йогурт_греческий_5%_жирности__натуральный,97 кКал
Йогурт_греческий_обезжиренный_клубничный,82 кКал
Йогурт_греческий_обезжиренный_малиновый,78 кКал
Йогурт_греческий_обезжиренный_натуральный,59 кКал
Йогурт_греческий_обезжиренный__ванильный__CHOBANI,71 кКал
Йогурт_греческий_обезжиренный__ванильный__DANNON_OIKOS,85 кКал
Йогурт_греческий_обезжиренный__клубничный__DANNON_OIKOS,84 кКал
Йогурт_греческий_обезжиренный__лимонный__CHOBANI,78 кКал
Йогурт_греческий_обезжиренный__малиновый__CHOBANI,81 кКал
Йогурт_греческий_обезжиренный__натуральный__CHOBANI,54 кКал
Йогурт_греческий_обезжиренный__персиковый__CHOBANI,80 кКал
Йогурт_греческий_обезжиренный__с_гранатом__CHOBANI,80 кКал
Йогурт_греческий_обезжиренный__с_ежевикой__CHOBANI,95 кКал
Йогурт_греческий_обезжиренный__с_клубникой__CHOBANI,79 кКал
Йогурт_греческий_обезжиренный__черничный__CHOBANI,82 кКал
Йогурт_замороженный__2_5%_жирности_(вкусы_кроме_шоколадного),139 кКал
Йогурт_замороженный__обезжиренный__с_низкокалорийным_подсластителем__(вкусы_кроме_шоколадного),104 кКал
Йогурт_обезжиренный__5_7%_белка__натуральный,56 кКал
Йогурт_обезжиренный__ванильный,78 кКал
Йогурт_обезжиренный__ванильный_или_лимонный___с_низкокалорийным_подсластителем__с_витамином_D,43 кКал
Йогурт_обезжиренный__ванильный_или_лимонный__с_низкокалорийным_подсластителем,43 кКал
Йогурт_обезжиренный__фруктовый,95 кКал
Йогурт_обезжиренный__фруктовый__с_витамином_D,95 кКал
Йогурт_обезжиренный__шоколадный,112 кКал
Йогурт_обезжиренный__шоколадный__с_витамином_D,112 кКал
Йогурт_питьевой__2_5%_жирности__с_фруктовым_наполнителем,86 кКал
Йогурт_питьевой_1_5%_жирности__с_фруктовым_наполнителем,78 кКал
Йогурт_питьевой_1%_жирности__с_фруктовым_наполнителем,71 кКал
Йогурт_питьевой_клубничный_0_9%_жирности__витаминизированный__LIFEWAY,62 кКал
Йогурт_сублимационной_сушки,534 кКал
Йогурт_сублимационной_сушки__плодово_ягодный,486 кКал
Йогурт_сублимационной_сушки__сладкий,493 кКал
Какао_с_молоком__напиток,77 кКал
Какао_со_сгущенным_молоком_и_сахаром__консервы,321 кКал
Какао_со_сгущенными_сливками__консервы,356 кКал
Кефир_1%_жирности,40 кКал
Кефир_1%_жирности__витаминизированный__LIFEWAY,43 кКал
Кефир_2_5%_жирности,53 кКал
Кефир_3_2%_жирности,59 кКал
Кефир_обезжиренный,31 кКал
Кислая_сквашенная_кремовая_заправка__без_молочного_жира,178 кКал
Кофе_натуральный_со_сгущенным_молоком__консервы,312 кКал
Кумыс_из_кобыльего_молока,50 кКал
Кумыс_коровий__нежирный,41 кКал
Масло_сливочное_«Вологодское»,748 кКал
Масло_сливочное_55%_жирности,499 кКал
Масло_сливочное_55%_жирности__соленое,499 кКал
Масло_сливочное_60%_жирности__высокобелковое_,567 кКал
Масло_сливочное_61_5%_жирности__бутербродное,566 кКал
Масло_сливочное_71_5%_жирности__крестьянское_соленое,647 кКал
Масло_сливочное_72_5%_жирности__крестьянское,661 кКал
Масло_сливочное_75%_жирности__обогащённое_витамином_Е,683 кКал
Масло_сливочное_77%_жирности__любительское_соленое,700 кКал
Масло_сливочное_78%_жирности__любительское,709 кКал
Масло_сливочное_81%_жирности,717 кКал
Масло_сливочное_81%_жирности__соленое,717 кКал
Масло_сливочное_82_5%_жирности__традиционное_(в_т.ч._Вологодское),748 кКал
Масло_сливочное_взбитое_78_3%_жирности__соленое,731 кКал
Масло_сливочное_топлёное,900 кКал
Масло_сливочное_топленое__99%_жирности,892 кКал
Молоко_1_5%_жирности__пастеризованное,45 кКал
Молоко_1_5%_жирности__стерилизованное,45 кКал
Молоко_1%__жирности__с_добавлением_сухого_обезжиренного_молока__с_витаминами_A_и_D,43 кКал
Молоко_1%_жирности,42 кКал
Молоко_1%_жирности_высокобелковое,52 кКал
Молоко_1%_жирности_высокобелковое__с_витаминами_A_и_D,48 кКал
Молоко_1%_жирности__с_витаминами_A_и_D,42 кКал
Молоко_1%_жирности__топленое,40 кКал
Молоко_2_5%_жирности__пастеризованное,54 кКал
Молоко_2_5%_жирности__стерилизованное,54 кКал
Молоко_2%_жирности,50 кКал
Молоко_2%_жирности__высокобелковое,56 кКал
Молоко_2%_жирности__высокобелковое__с_витаминами_A_и_D,56 кКал
Молоко_2%_жирности__с_витаминами_A_и_D,50 кКал
Молоко_2%_жирности__с_добавлением_сухого_обезжиренного_молока__с_витаминами_A_и_D,51 кКал
Молоко_3_2%_жирности__пастеризованное,60 кКал
Молоко_3_2%_жирности__стерилизованное,60 кКал
Молоко_3_25%_жирности,61 кКал
Молоко_3_25%_жирности__с_витамином_D,61 кКал
Молоко_3_5%_жирности__пастеризованное,62 кКал
Молоко_3_5%_жирности__со_сниженным_содержанием_натрия,61 кКал
Молоко_3_5%_жирности__стерилизованное,63 кКал
Молоко_3%_жирности__стерилизованное,58 кКал
Молоко_4%_жирности__топленое,67 кКал
Молоко_6%_жирности__топленое,84 кКал
Молоко_буйволиное,106 кКал
Молоко_верблюжье,"81,5 кКал"
Молоко_грудное,70 кКал
Молоко_индийского_буйвола,97 кКал
Молоко_кобылье,41 кКал
Молоко_козье,68 кКал
Молоко_козье__с_витамином_D,69 кКал
Молоко_коровье_сырое_3_6%_жирности,65 кКал
Молоко_коровье_сырое_3_7%_жирности__фермерское,64 кКал
Молоко_обезжиренное,35 кКал
Молоко_обезжиренное__высокобелковое__с_витаминами_A_и_D,41 кКал
Молоко_обезжиренное__обогащенное_кальцием,35 кКал
Молоко_обезжиренное__пастеризованное,32 кКал
Молоко_обезжиренное__с_витаминами_A_и_D,34 кКал
Молоко_обезжиренное__с_добавлением_сухого_обезжиренного_молока__с_витаминами_A_и_D,37 кКал
Молоко_обезжиренное__топленое,32 кКал
Молоко_овечье,108 кКал
Молоко_овечье,111 кКал
Молоко_с_гидрогенизированным_растительным_маслом,63 кКал
Молоко_с_маслами_лауриновой_кислоты,63 кКал
Молоко_сгущенное_без_сахара_2%_жирности_с_витаминами_A_и_D,107 кКал
Молоко_сгущенное_без_сахара_7_5%_жирности__с_витамином_D,134 кКал
Молоко_сгущенное_без_сахара_7_5%_жирности__с_витамином_А,134 кКал
Молоко_сгущенное_без_сахара_7_8%_жирности__стерилизованное,138 кКал
Молоко_сгущенное_без_сахара_8_3%_жирности__стерилизованное,144 кКал
Молоко_сгущенное_без_сахара_9_5%_жирности__стерилизованное,162 кКал
Молоко_сгущенное_без_сахара_обезжиренное__с_витаминами_A_и_D,78 кКал
Молоко_сгущенное_без_сахара_обезжиренное__стерилизованное,71 кКал
Молоко_сгущенное_с_сахаром_2_5%_жирности,271 кКал
Молоко_сгущенное_с_сахаром_5%_жирности,295 кКал
Молоко_сгущенное_с_сахаром_8_5%_жирности__цельное,328 кКал
Молоко_сгущенное_с_сахаром_8_7%_жирности,321 кКал
"Молоко_сгущенное_с_сахаром__""Славянское""",261 кКал
Молоко_сгущенное_с_сахаром__обезжиренное,259 кКал
Молоко_сухое_15%_жирности__полуобезжиренное,432 кКал
Молоко_сухое_25%_жирности__цельное,483 кКал
Молоко_сухое_26_7%_жирности__цельное,496 кКал
Молоко_сухое_26_7%_жирности__цельное__с_витамином_D,496 кКал
Молоко_сухое_обезжиренное,362 кКал
Молоко_сухое_обезжиренное,362 кКал
Молоко_сухое_обезжиренное_со_сниженным_содержанием_кальцием,354 кКал
Молоко_сухое_обезжиренное__быстрорастворимое,358 кКал
Молоко_сухое_обезжиренное__быстрорастворимое__с_витаминами_A_и_D,358 кКал
Молоко_сухое_обезжиренное__с_витаминами_A_и_D,362 кКал
Молоко__сгущеное_цельное__без_доб._витаминов_A_и_D__8%__консерв.,135 кКал
Молочный_батончик_1_5%_жирности__сладкий,147 кКал
Молочный_коктейль__густой_ванильный,112 кКал
Молочный_коктейль__густой_шоколадный,119 кКал
Молочный_напиток_шоколадный_1_1%_жирности_с_витаминами_A_и_D,64 кКал
Молочный_напиток_шоколадный_1_9%_жирности__с_витаминами_A_и_D,76 кКал
